story_id,index_num,item_name,category,materials
1,0,"Conneaut Shooting Update",COMMUNITY/EVENTS,"jasonsumner.jpg,heatherharris.jpg"
7,6,"Flu Season Alert",COMMUNITY/EVENTS,ashtabulacountyhealthdept.jpg
11,10,"Milking Parlor Fire",LEGAL/CRIMINAL,farm_on_fire.jpg
12,11,"Drought Relief Efforts",COMMUNITY/EVENTS,sherrod_brown_photo.jpg
21,20,"Stark County Livestock Sale",COMMUNITY/EVENTS,stark_county_fair.jpg
35,34,"Lighthouse Cruisers Meetups",COMMUNITY/EVENTS,lighthouse_cruisers.jpg
37,36,"Thursday Night Music Bingo",COMMUNITY/EVENTS,halcyon_bar.jpg
39,38,"GOTL Halloween Bar Crawl",COMMUNITY/EVENTS,gotl_bar_crawl.jpg
40,39,"Trivia Night at Halcyon",COMMUNITY/EVENTS,halcyon_bar.jpg
204,203,"Holiday Open House at Animal Shelter",EDUCATION/SPORTS,"[""204_2.jpg"", ""204_4.jpg"", ""apl_58seconds.mp4""]"
205,204,"Mental Health Exhibit Launch",COMMUNITY/EVENTS,"[""205_1.jpg"", ""205_2.jpg"", ""ashtabulacountyhealthdept.jpg""]"
